1615.png - compression: h264 crf=26, scale: nearest size factor=0.5
1241.png - compression: h264 crf=27, scale: nearest size factor=0.5
0858.png - scale: box size factor=0.5, compression: h264 crf=22
1648.png - scale: nearest size factor=0.5, compression: h264 crf=26
2290.png - compression: h264 crf=22, scale: box size factor=0.5
1402.png - compression: h264 crf=23, scale: nearest size factor=0.5
1827.png - compression: h264 crf=26, scale: nearest size factor=0.5
2310.png - scale: nearest size factor=0.5, compression: h264 crf=21
0601.png - scale: lanczos size factor=0.5, compression: h264 crf=28
1391.png - scale: box size factor=0.5, compression: h264 crf=25
1985.png - compression: h264 crf=20, scale: bilinear size factor=0.5
0864.png - scale: bilinear size factor=0.5, compression: h264 crf=26
2259.png - compression: h264 crf=26, scale: bilinear size factor=0.5
1722.png - scale: bicubic size factor=0.5, compression: h264 crf=22
1411.png - compression: h264 crf=27, scale: bicubic size factor=0.5
1257.png - scale: lanczos size factor=0.5, compression: h264 crf=23
0312.png - compression: h264 crf=22, scale: bicubic size factor=0.5
1715.png - scale: box size factor=0.5, compression: h264 crf=22
0607.png - scale: bicubic size factor=0.5, compression: h264 crf=23
1963.png - compression: h264 crf=23, scale: nearest size factor=0.5
0166.png - scale: lanczos size factor=0.5, compression: h264 crf=27
1918.png - compression: h264 crf=21, scale: bicubic size factor=0.5
0875.png - scale: box size factor=0.5, compression: h264 crf=21
1306.png - compression: h264 crf=21, scale: bilinear size factor=0.5
2554.png - compression: h264 crf=26, scale: box size factor=0.5
1992.png - compression: h264 crf=20, scale: lanczos size factor=0.5
2481.png - compression: h264 crf=24, scale: nearest size factor=0.5
1555.png - scale: nearest size factor=0.5, compression: h264 crf=22
2194.png - compression: h264 crf=27, scale: nearest size factor=0.5
0218.png - compression: h264 crf=27, scale: bicubic size factor=0.5
0213.png - scale: lanczos size factor=0.5, compression: h264 crf=28
0884.png - compression: h264 crf=23, scale: box size factor=0.5
0733.png - compression: h264 crf=27, scale: box size factor=0.5
2472.png - compression: h264 crf=27, scale: nearest size factor=0.5
0343.png - compression: h264 crf=22, scale: bicubic size factor=0.5
2130.png - compression: h264 crf=27, scale: box size factor=0.5
0608.png - compression: h264 crf=25, scale: box size factor=0.5
0927.png - compression: h264 crf=26, scale: bicubic size factor=0.5
1244.png - compression: h264 crf=22, scale: lanczos size factor=0.5
1181.png - scale: lanczos size factor=0.5, compression: h264 crf=25
0778.png - compression: h264 crf=22, scale: nearest size factor=0.5
2203.png - compression: h264 crf=21, scale: bilinear size factor=0.5
0308.png - compression: h264 crf=27, scale: bicubic size factor=0.5
1917.png - scale: lanczos size factor=0.5, compression: h264 crf=28
1990.png - scale: box size factor=0.5, compression: h264 crf=25
0832.png - scale: bilinear size factor=0.5, compression: h264 crf=21
0602.png - compression: h264 crf=25, scale: bicubic size factor=0.5
2318.png - scale: bicubic size factor=0.5, compression: h264 crf=22
1530.png - scale: bilinear size factor=0.5, compression: h264 crf=21
2336.png - compression: h264 crf=21, scale: nearest size factor=0.5
1088.png - compression: h264 crf=23, scale: box size factor=0.5
1739.png - scale: bilinear size factor=0.5, compression: h264 crf=22
1130.png - scale: nearest size factor=0.5, compression: h264 crf=27
1162.png - scale: bicubic size factor=0.5, compression: h264 crf=22
1138.png - scale: bilinear size factor=0.5, compression: h264 crf=23
1644.png - scale: lanczos size factor=0.5, compression: h264 crf=24
0542.png - scale: box size factor=0.5, compression: h264 crf=22
1947.png - compression: h264 crf=25, scale: bicubic size factor=0.5
0285.png - compression: h264 crf=27, scale: nearest size factor=0.5
2050.png - scale: lanczos size factor=0.5, compression: h264 crf=23
1344.png - scale: lanczos size factor=0.5, compression: h264 crf=27
0391.png - scale: box size factor=0.5, compression: h264 crf=26
0198.png - scale: box size factor=0.5, compression: h264 crf=24
0008.png - compression: h264 crf=20, scale: bilinear size factor=0.5
0158.png - compression: h264 crf=21, scale: box size factor=0.5
1221.png - compression: h264 crf=25, scale: bilinear size factor=0.5
2032.png - scale: box size factor=0.5, compression: h264 crf=24
0505.png - compression: h264 crf=25, scale: nearest size factor=0.5
1732.png - scale: bicubic size factor=0.5, compression: h264 crf=28
0667.png - scale: lanczos size factor=0.5, compression: h264 crf=24
2517.png - compression: h264 crf=22, scale: bicubic size factor=0.5
1761.png - compression: h264 crf=28, scale: nearest size factor=0.5
1410.png - compression: h264 crf=20, scale: bilinear size factor=0.5
1030.png - scale: lanczos size factor=0.5, compression: h264 crf=22
0554.png - scale: nearest size factor=0.5, compression: h264 crf=22
0710.png - compression: h264 crf=26, scale: bicubic size factor=0.5
1878.png - scale: nearest size factor=0.5, compression: h264 crf=25
1759.png - compression: h264 crf=20, scale: bilinear size factor=0.5
1480.png - compression: h264 crf=25, scale: bicubic size factor=0.5
0353.png - compression: h264 crf=24, scale: nearest size factor=0.5
2188.png - scale: bicubic size factor=0.5, compression: h264 crf=20
0798.png - scale: box size factor=0.5, compression: h264 crf=28
2261.png - scale: bicubic size factor=0.5, compression: h264 crf=23
2166.png - compression: h264 crf=28, scale: lanczos size factor=0.5
1549.png - compression: h264 crf=25, scale: box size factor=0.5
1791.png - compression: h264 crf=22, scale: box size factor=0.5
0429.png - scale: lanczos size factor=0.5, compression: h264 crf=23
2480.png - scale: bilinear size factor=0.5, compression: h264 crf=25
1172.png - scale: nearest size factor=0.5, compression: h264 crf=22
0705.png - compression: h264 crf=25, scale: lanczos size factor=0.5
2553.png - compression: h264 crf=22, scale: bilinear size factor=0.5
0450.png - scale: nearest size factor=0.5, compression: h264 crf=28
2024.png - compression: h264 crf=20, scale: nearest size factor=0.5
0510.png - scale: lanczos size factor=0.5, compression: h264 crf=25
0147.png - scale: lanczos size factor=0.5, compression: h264 crf=26
1874.png - compression: h264 crf=24, scale: nearest size factor=0.5
1186.png - compression: h264 crf=22, scale: box size factor=0.5
1652.png - compression: h264 crf=20, scale: bicubic size factor=0.5
2430.png - compression: h264 crf=22, scale: lanczos size factor=0.5
1124.png - compression: h264 crf=23, scale: nearest size factor=0.5
1505.png - compression: h264 crf=22, scale: box size factor=0.5
2275.png - compression: h264 crf=25, scale: bilinear size factor=0.5
1526.png - scale: bilinear size factor=0.5, compression: h264 crf=25
2432.png - scale: bilinear size factor=0.5, compression: h264 crf=28
1068.png - scale: box size factor=0.5, compression: h264 crf=20
0215.png - compression: h264 crf=20, scale: box size factor=0.5
2437.png - compression: h264 crf=21, scale: bilinear size factor=0.5
1167.png - scale: box size factor=0.5, compression: h264 crf=26
1817.png - scale: box size factor=0.5, compression: h264 crf=24
1253.png - scale: bilinear size factor=0.5, compression: h264 crf=27
0222.png - scale: nearest size factor=0.5, compression: h264 crf=28
1980.png - scale: box size factor=0.5, compression: h264 crf=27
0031.png - compression: h264 crf=21, scale: box size factor=0.5
1532.png - compression: h264 crf=24, scale: bicubic size factor=0.5
0164.png - scale: nearest size factor=0.5, compression: h264 crf=21
0882.png - scale: nearest size factor=0.5, compression: h264 crf=24
1534.png - scale: bilinear size factor=0.5, compression: h264 crf=25
0133.png - compression: h264 crf=25, scale: box size factor=0.5
0979.png - scale: bilinear size factor=0.5, compression: h264 crf=28
2331.png - compression: h264 crf=26, scale: bicubic size factor=0.5
0052.png - scale: lanczos size factor=0.5, compression: h264 crf=27
0665.png - scale: bilinear size factor=0.5, compression: h264 crf=24
2184.png - scale: nearest size factor=0.5, compression: h264 crf=22
1362.png - scale: bilinear size factor=0.5, compression: h264 crf=23
