1615.png - compression: h264 crf=26, scale: nearest size factor=0.5
0121.png - compression: h264 crf=22, scale: lanczos size factor=0.5
1063.png - scale: nearest size factor=0.5, compression: h264 crf=28
0896.png - compression: h264 crf=27, scale: bicubic size factor=0.5
1461.png - scale: nearest size factor=0.5, compression: h264 crf=26
1160.png - compression: h264 crf=23, scale: lanczos size factor=0.5
2552.png - scale: lanczos size factor=0.5, compression: h264 crf=24
1610.png - scale: nearest size factor=0.5, compression: h264 crf=24
0517.png - scale: bilinear size factor=0.5, compression: h264 crf=25
0236.png - compression: h264 crf=25, scale: bilinear size factor=0.5
0928.png - scale: bilinear size factor=0.5, compression: h264 crf=21
1215.png - scale: lanczos size factor=0.5, compression: h264 crf=24
0238.png - scale: bilinear size factor=0.5, compression: h264 crf=27
0440.png - scale: lanczos size factor=0.5, compression: h264 crf=28
0800.png - scale: bicubic size factor=0.5, compression: h264 crf=28
1941.png - compression: h264 crf=21, scale: nearest size factor=0.5
1887.png - compression: h264 crf=27, scale: box size factor=0.5
1954.png - scale: nearest size factor=0.5, compression: h264 crf=27
0092.png - scale: lanczos size factor=0.5, compression: h264 crf=21
0999.png - scale: bilinear size factor=0.5, compression: h264 crf=23
0029.png - scale: lanczos size factor=0.5, compression: h264 crf=27
1325.png - scale: lanczos size factor=0.5, compression: h264 crf=26
0291.png - scale: box size factor=0.5, compression: h264 crf=28
1743.png - compression: h264 crf=28, scale: nearest size factor=0.5
1904.png - compression: h264 crf=23, scale: bicubic size factor=0.5
1331.png - scale: bicubic size factor=0.5, compression: h264 crf=24
1428.png - scale: lanczos size factor=0.5, compression: h264 crf=28
0043.png - scale: lanczos size factor=0.5, compression: h264 crf=26
0689.png - compression: h264 crf=22, scale: bilinear size factor=0.5
1609.png - compression: h264 crf=22, scale: lanczos size factor=0.5
2195.png - compression: h264 crf=22, scale: bicubic size factor=0.5
1132.png - compression: h264 crf=21, scale: box size factor=0.5
1973.png - scale: box size factor=0.5, compression: h264 crf=25
1404.png - scale: bicubic size factor=0.5, compression: h264 crf=25
2216.png - scale: bicubic size factor=0.5, compression: h264 crf=21
2535.png - compression: h264 crf=28, scale: bilinear size factor=0.5
1501.png - compression: h264 crf=23, scale: nearest size factor=0.5
1638.png - scale: bicubic size factor=0.5, compression: h264 crf=20
1013.png - compression: h264 crf=25, scale: lanczos size factor=0.5
2523.png - compression: h264 crf=23, scale: box size factor=0.5
1783.png - scale: box size factor=0.5, compression: h264 crf=26
2492.png - compression: h264 crf=21, scale: bicubic size factor=0.5
2363.png - compression: h264 crf=22, scale: nearest size factor=0.5
2418.png - compression: h264 crf=22, scale: bilinear size factor=0.5
2114.png - scale: lanczos size factor=0.5, compression: h264 crf=21
2414.png - scale: bicubic size factor=0.5, compression: h264 crf=26
1703.png - compression: h264 crf=24, scale: bicubic size factor=0.5
1038.png - scale: bicubic size factor=0.5, compression: h264 crf=25
0534.png - scale: box size factor=0.5, compression: h264 crf=23
2066.png - compression: h264 crf=22, scale: bilinear size factor=0.5
0666.png - compression: h264 crf=24, scale: nearest size factor=0.5
0575.png - scale: nearest size factor=0.5, compression: h264 crf=27
2278.png - scale: box size factor=0.5, compression: h264 crf=26
1843.png - compression: h264 crf=20, scale: box size factor=0.5
2251.png - compression: h264 crf=24, scale: bicubic size factor=0.5
0424.png - scale: bilinear size factor=0.5, compression: h264 crf=21
0306.png - compression: h264 crf=27, scale: box size factor=0.5
2254.png - compression: h264 crf=25, scale: nearest size factor=0.5
1032.png - scale: lanczos size factor=0.5, compression: h264 crf=21
2099.png - compression: h264 crf=23, scale: nearest size factor=0.5
0240.png - scale: nearest size factor=0.5, compression: h264 crf=22
1778.png - scale: nearest size factor=0.5, compression: h264 crf=21
1730.png - scale: box size factor=0.5, compression: h264 crf=21
1248.png - scale: nearest size factor=0.5, compression: h264 crf=20
1401.png - scale: bilinear size factor=0.5, compression: h264 crf=28
0624.png - compression: h264 crf=28, scale: bilinear size factor=0.5
1698.png - scale: box size factor=0.5, compression: h264 crf=21
2516.png - scale: bilinear size factor=0.5, compression: h264 crf=21
0643.png - scale: nearest size factor=0.5, compression: h264 crf=26
0718.png - scale: lanczos size factor=0.5, compression: h264 crf=22
1051.png - compression: h264 crf=21, scale: bicubic size factor=0.5
1188.png - scale: bilinear size factor=0.5, compression: h264 crf=26
2012.png - scale: box size factor=0.5, compression: h264 crf=27
0163.png - compression: h264 crf=20, scale: nearest size factor=0.5
0231.png - scale: box size factor=0.5, compression: h264 crf=28
0752.png - scale: box size factor=0.5, compression: h264 crf=27
2374.png - compression: h264 crf=20, scale: bicubic size factor=0.5
0458.png - compression: h264 crf=21, scale: bilinear size factor=0.5
1233.png - scale: bilinear size factor=0.5, compression: h264 crf=24
1169.png - compression: h264 crf=24, scale: bilinear size factor=0.5
1489.png - compression: h264 crf=27, scale: lanczos size factor=0.5
0929.png - compression: h264 crf=25, scale: bicubic size factor=0.5
0584.png - compression: h264 crf=23, scale: box size factor=0.5
2073.png - compression: h264 crf=25, scale: box size factor=0.5
1297.png - scale: bicubic size factor=0.5, compression: h264 crf=25
1825.png - scale: lanczos size factor=0.5, compression: h264 crf=21
1625.png - compression: h264 crf=27, scale: nearest size factor=0.5
1592.png - compression: h264 crf=21, scale: bilinear size factor=0.5
0014.png - scale: bicubic size factor=0.5, compression: h264 crf=24
1193.png - scale: bilinear size factor=0.5, compression: h264 crf=28
0320.png - compression: h264 crf=20, scale: bicubic size factor=0.5
0686.png - scale: lanczos size factor=0.5, compression: h264 crf=26
2488.png - scale: box size factor=0.5, compression: h264 crf=24
1507.png - compression: h264 crf=24, scale: box size factor=0.5
0435.png - compression: h264 crf=23, scale: bicubic size factor=0.5
1380.png - compression: h264 crf=28, scale: bicubic size factor=0.5
1950.png - compression: h264 crf=24, scale: lanczos size factor=0.5
0055.png - scale: bilinear size factor=0.5, compression: h264 crf=24
1417.png - compression: h264 crf=25, scale: lanczos size factor=0.5
0713.png - scale: nearest size factor=0.5, compression: h264 crf=23
0737.png - scale: box size factor=0.5, compression: h264 crf=25
0300.png - scale: lanczos size factor=0.5, compression: h264 crf=25
0459.png - scale: bicubic size factor=0.5, compression: h264 crf=24
0834.png - scale: box size factor=0.5, compression: h264 crf=21
1437.png - compression: h264 crf=22, scale: lanczos size factor=0.5
0401.png - compression: h264 crf=26, scale: bilinear size factor=0.5
2395.png - compression: h264 crf=25, scale: nearest size factor=0.5
0044.png - scale: bilinear size factor=0.5, compression: h264 crf=25
0793.png - scale: nearest size factor=0.5, compression: h264 crf=28
0274.png - compression: h264 crf=24, scale: bicubic size factor=0.5
2358.png - scale: lanczos size factor=0.5, compression: h264 crf=21
0390.png - compression: h264 crf=23, scale: box size factor=0.5
2220.png - scale: bilinear size factor=0.5, compression: h264 crf=24
0845.png - scale: box size factor=0.5, compression: h264 crf=22
0332.png - compression: h264 crf=26, scale: nearest size factor=0.5
1440.png - compression: h264 crf=26, scale: bilinear size factor=0.5
1607.png - compression: h264 crf=26, scale: box size factor=0.5
2157.png - scale: bilinear size factor=0.5, compression: h264 crf=21
0234.png - scale: box size factor=0.5, compression: h264 crf=22
0131.png - scale: bilinear size factor=0.5, compression: h264 crf=22
0672.png - compression: h264 crf=21, scale: bicubic size factor=0.5
1098.png - compression: h264 crf=24, scale: box size factor=0.5
0951.png - compression: h264 crf=22, scale: nearest size factor=0.5
1122.png - compression: h264 crf=26, scale: box size factor=0.5
1328.png - scale: nearest size factor=0.5, compression: h264 crf=25
0324.png - compression: h264 crf=23, scale: nearest size factor=0.5
0138.png - compression: h264 crf=26, scale: nearest size factor=0.5
0060.png - scale: box size factor=0.5, compression: h264 crf=27
1957.png - scale: nearest size factor=0.5, compression: h264 crf=28
0842.png - compression: h264 crf=27, scale: nearest size factor=0.5
2248.png - scale: bicubic size factor=0.5, compression: h264 crf=22
0941.png - compression: h264 crf=23, scale: nearest size factor=0.5
0723.png - compression: h264 crf=25, scale: box size factor=0.5
2429.png - scale: nearest size factor=0.5, compression: h264 crf=26
2094.png - scale: bicubic size factor=0.5, compression: h264 crf=22
0402.png - compression: h264 crf=21, scale: bilinear size factor=0.5
0512.png - scale: bilinear size factor=0.5, compression: h264 crf=24
0727.png - scale: lanczos size factor=0.5, compression: h264 crf=27
1564.png - compression: h264 crf=23, scale: lanczos size factor=0.5
0310.png - compression: h264 crf=21, scale: bilinear size factor=0.5
0695.png - scale: box size factor=0.5, compression: h264 crf=25
2082.png - compression: h264 crf=26, scale: lanczos size factor=0.5
1493.png - compression: h264 crf=23, scale: bilinear size factor=0.5
2498.png - scale: bilinear size factor=0.5, compression: h264 crf=22
0539.png - compression: h264 crf=23, scale: bilinear size factor=0.5
0437.png - scale: lanczos size factor=0.5, compression: h264 crf=20
0502.png - compression: h264 crf=23, scale: nearest size factor=0.5
1318.png - scale: box size factor=0.5, compression: h264 crf=28
1382.png - compression: h264 crf=26, scale: nearest size factor=0.5
1691.png - scale: bicubic size factor=0.5, compression: h264 crf=25
0876.png - compression: h264 crf=20, scale: lanczos size factor=0.5
0520.png - scale: nearest size factor=0.5, compression: h264 crf=24
1379.png - compression: h264 crf=25, scale: box size factor=0.5
0942.png - scale: bicubic size factor=0.5, compression: h264 crf=24
1942.png - compression: h264 crf=22, scale: lanczos size factor=0.5
0185.png - scale: nearest size factor=0.5, compression: h264 crf=27
2313.png - scale: bicubic size factor=0.5, compression: h264 crf=21
2343.png - scale: nearest size factor=0.5, compression: h264 crf=26
1812.png - scale: bilinear size factor=0.5, compression: h264 crf=24
0275.png - scale: nearest size factor=0.5, compression: h264 crf=24
0307.png - scale: lanczos size factor=0.5, compression: h264 crf=27
1259.png - scale: box size factor=0.5, compression: h264 crf=27
0662.png - scale: lanczos size factor=0.5, compression: h264 crf=20
1464.png - compression: h264 crf=21, scale: lanczos size factor=0.5
0986.png - scale: bicubic size factor=0.5, compression: h264 crf=24
2304.png - scale: bicubic size factor=0.5, compression: h264 crf=22
2428.png - scale: bilinear size factor=0.5, compression: h264 crf=20
1748.png - scale: bilinear size factor=0.5, compression: h264 crf=28
1367.png - scale: nearest size factor=0.5, compression: h264 crf=28
0920.png - scale: bilinear size factor=0.5, compression: h264 crf=26
1179.png - scale: lanczos size factor=0.5, compression: h264 crf=28
2060.png - scale: nearest size factor=0.5, compression: h264 crf=24
1789.png - scale: bilinear size factor=0.5, compression: h264 crf=28
0555.png - scale: nearest size factor=0.5, compression: h264 crf=24
1983.png - scale: bicubic size factor=0.5, compression: h264 crf=25
2302.png - compression: h264 crf=25, scale: bicubic size factor=0.5
2276.png - scale: bicubic size factor=0.5, compression: h264 crf=28
1205.png - scale: box size factor=0.5, compression: h264 crf=27
2279.png - scale: bicubic size factor=0.5, compression: h264 crf=20
0897.png - scale: bicubic size factor=0.5, compression: h264 crf=25
1550.png - scale: lanczos size factor=0.5, compression: h264 crf=27
1463.png - compression: h264 crf=27, scale: lanczos size factor=0.5
2503.png - scale: lanczos size factor=0.5, compression: h264 crf=26
0663.png - scale: bilinear size factor=0.5, compression: h264 crf=22
0337.png - compression: h264 crf=24, scale: nearest size factor=0.5
1074.png - scale: nearest size factor=0.5, compression: h264 crf=20
0127.png - compression: h264 crf=22, scale: nearest size factor=0.5
1155.png - compression: h264 crf=20, scale: nearest size factor=0.5
1681.png - scale: bicubic size factor=0.5, compression: h264 crf=21
1788.png - scale: box size factor=0.5, compression: h264 crf=26
0803.png - scale: lanczos size factor=0.5, compression: h264 crf=26
0820.png - scale: bicubic size factor=0.5, compression: h264 crf=22
0252.png - compression: h264 crf=22, scale: box size factor=0.5
1744.png - scale: box size factor=0.5, compression: h264 crf=26
0484.png - scale: bicubic size factor=0.5, compression: h264 crf=25
1981.png - compression: h264 crf=26, scale: box size factor=0.5
1842.png - scale: bicubic size factor=0.5, compression: h264 crf=27
0051.png - compression: h264 crf=21, scale: bilinear size factor=0.5
2172.png - compression: h264 crf=28, scale: bicubic size factor=0.5
1424.png - scale: box size factor=0.5, compression: h264 crf=26
2521.png - scale: box size factor=0.5, compression: h264 crf=20
0019.png - scale: bilinear size factor=0.5, compression: h264 crf=22
1105.png - scale: box size factor=0.5, compression: h264 crf=25
2546.png - compression: h264 crf=24, scale: box size factor=0.5
0257.png - compression: h264 crf=21, scale: nearest size factor=0.5
1394.png - compression: h264 crf=28, scale: lanczos size factor=0.5
1481.png - scale: lanczos size factor=0.5, compression: h264 crf=21
1833.png - scale: nearest size factor=0.5, compression: h264 crf=23
0851.png - scale: box size factor=0.5, compression: h264 crf=25
1249.png - scale: lanczos size factor=0.5, compression: h264 crf=21
1864.png - compression: h264 crf=20, scale: box size factor=0.5
1183.png - scale: nearest size factor=0.5, compression: h264 crf=20
2461.png - compression: h264 crf=20, scale: bicubic size factor=0.5
0783.png - compression: h264 crf=23, scale: nearest size factor=0.5
1798.png - scale: nearest size factor=0.5, compression: h264 crf=23
0801.png - scale: bilinear size factor=0.5, compression: h264 crf=24
1807.png - scale: lanczos size factor=0.5, compression: h264 crf=20
0331.png - compression: h264 crf=25, scale: box size factor=0.5
0850.png - scale: nearest size factor=0.5, compression: h264 crf=25
0506.png - scale: bicubic size factor=0.5, compression: h264 crf=23
2161.png - scale: nearest size factor=0.5, compression: h264 crf=24
2160.png - scale: bilinear size factor=0.5, compression: h264 crf=22
0136.png - compression: h264 crf=27, scale: lanczos size factor=0.5
1251.png - scale: lanczos size factor=0.5, compression: h264 crf=20
1881.png - scale: nearest size factor=0.5, compression: h264 crf=20
1619.png - scale: bicubic size factor=0.5, compression: h264 crf=27
0428.png - scale: lanczos size factor=0.5, compression: h264 crf=26
1570.png - scale: lanczos size factor=0.5, compression: h264 crf=28
2175.png - compression: h264 crf=23, scale: nearest size factor=0.5
0807.png - compression: h264 crf=23, scale: lanczos size factor=0.5
0294.png - compression: h264 crf=22, scale: bicubic size factor=0.5
1573.png - compression: h264 crf=22, scale: bicubic size factor=0.5
0387.png - scale: box size factor=0.5, compression: h264 crf=27
0958.png - compression: h264 crf=23, scale: bicubic size factor=0.5
1816.png - scale: nearest size factor=0.5, compression: h264 crf=21
0868.png - scale: bicubic size factor=0.5, compression: h264 crf=20
1421.png - scale: bilinear size factor=0.5, compression: h264 crf=24
0282.png - compression: h264 crf=28, scale: box size factor=0.5
1153.png - compression: h264 crf=28, scale: bilinear size factor=0.5
1293.png - compression: h264 crf=20, scale: nearest size factor=0.5
0254.png - scale: nearest size factor=0.5, compression: h264 crf=28
1595.png - compression: h264 crf=22, scale: box size factor=0.5
1966.png - compression: h264 crf=21, scale: lanczos size factor=0.5
1282.png - compression: h264 crf=26, scale: bicubic size factor=0.5
0299.png - scale: nearest size factor=0.5, compression: h264 crf=27
1792.png - scale: lanczos size factor=0.5, compression: h264 crf=25
2165.png - compression: h264 crf=24, scale: bilinear size factor=0.5
0726.png - scale: lanczos size factor=0.5, compression: h264 crf=26
0090.png - compression: h264 crf=26, scale: lanczos size factor=0.5
2294.png - compression: h264 crf=24, scale: bicubic size factor=0.5
1897.png - scale: box size factor=0.5, compression: h264 crf=25
1300.png - compression: h264 crf=20, scale: box size factor=0.5
0809.png - compression: h264 crf=23, scale: lanczos size factor=0.5
2502.png - scale: box size factor=0.5, compression: h264 crf=26
0167.png - compression: h264 crf=25, scale: nearest size factor=0.5
0113.png - scale: nearest size factor=0.5, compression: h264 crf=25
0535.png - scale: bilinear size factor=0.5, compression: h264 crf=26
0603.png - compression: h264 crf=28, scale: nearest size factor=0.5
2132.png - scale: nearest size factor=0.5, compression: h264 crf=27
0278.png - compression: h264 crf=28, scale: lanczos size factor=0.5
2387.png - compression: h264 crf=22, scale: nearest size factor=0.5
0482.png - compression: h264 crf=21, scale: bilinear size factor=0.5
1129.png - compression: h264 crf=26, scale: bilinear size factor=0.5
0174.png - compression: h264 crf=22, scale: lanczos size factor=0.5
0464.png - compression: h264 crf=28, scale: nearest size factor=0.5
0996.png - compression: h264 crf=26, scale: bilinear size factor=0.5
1392.png - scale: bilinear size factor=0.5, compression: h264 crf=20
0020.png - compression: h264 crf=28, scale: bicubic size factor=0.5
0217.png - scale: nearest size factor=0.5, compression: h264 crf=24
1875.png - scale: bilinear size factor=0.5, compression: h264 crf=27
0434.png - scale: nearest size factor=0.5, compression: h264 crf=20
1572.png - compression: h264 crf=26, scale: lanczos size factor=0.5
2328.png - scale: nearest size factor=0.5, compression: h264 crf=25
1240.png - scale: nearest size factor=0.5, compression: h264 crf=24
2409.png - scale: bilinear size factor=0.5, compression: h264 crf=24
0177.png - scale: box size factor=0.5, compression: h264 crf=22
0805.png - scale: nearest size factor=0.5, compression: h264 crf=23
0670.png - scale: box size factor=0.5, compression: h264 crf=25
2189.png - scale: bilinear size factor=0.5, compression: h264 crf=28
2345.png - compression: h264 crf=25, scale: nearest size factor=0.5
2242.png - compression: h264 crf=25, scale: bicubic size factor=0.5
1349.png - scale: nearest size factor=0.5, compression: h264 crf=20
2002.png - scale: bicubic size factor=0.5, compression: h264 crf=26
0838.png - compression: h264 crf=23, scale: lanczos size factor=0.5
2396.png - compression: h264 crf=22, scale: box size factor=0.5
2227.png - scale: nearest size factor=0.5, compression: h264 crf=28
1485.png - scale: bicubic size factor=0.5, compression: h264 crf=24
0799.png - scale: bicubic size factor=0.5, compression: h264 crf=24
0493.png - scale: nearest size factor=0.5, compression: h264 crf=27
2197.png - scale: bilinear size factor=0.5, compression: h264 crf=28
2531.png - scale: bilinear size factor=0.5, compression: h264 crf=22
1845.png - compression: h264 crf=24, scale: nearest size factor=0.5
1567.png - scale: bicubic size factor=0.5, compression: h264 crf=21
2028.png - scale: bilinear size factor=0.5, compression: h264 crf=28
0143.png - scale: bilinear size factor=0.5, compression: h264 crf=26
1708.png - compression: h264 crf=23, scale: box size factor=0.5
2019.png - compression: h264 crf=23, scale: lanczos size factor=0.5
0123.png - scale: nearest size factor=0.5, compression: h264 crf=23
1665.png - scale: box size factor=0.5, compression: h264 crf=21
1009.png - scale: box size factor=0.5, compression: h264 crf=22
1217.png - scale: box size factor=0.5, compression: h264 crf=22
1718.png - compression: h264 crf=20, scale: lanczos size factor=0.5
2168.png - compression: h264 crf=22, scale: lanczos size factor=0.5
1641.png - compression: h264 crf=22, scale: lanczos size factor=0.5
1192.png - scale: bilinear size factor=0.5, compression: h264 crf=27
1381.png - compression: h264 crf=27, scale: bicubic size factor=0.5
0700.png - scale: box size factor=0.5, compression: h264 crf=20
2057.png - compression: h264 crf=28, scale: nearest size factor=0.5
2284.png - scale: box size factor=0.5, compression: h264 crf=22
2239.png - scale: box size factor=0.5, compression: h264 crf=23
0888.png - scale: bicubic size factor=0.5, compression: h264 crf=28
0552.png - compression: h264 crf=21, scale: lanczos size factor=0.5
0124.png - compression: h264 crf=24, scale: lanczos size factor=0.5
2054.png - compression: h264 crf=24, scale: bilinear size factor=0.5
0597.png - scale: bilinear size factor=0.5, compression: h264 crf=26
0696.png - compression: h264 crf=25, scale: box size factor=0.5
0233.png - compression: h264 crf=27, scale: bilinear size factor=0.5
0518.png - compression: h264 crf=27, scale: bicubic size factor=0.5
0867.png - scale: nearest size factor=0.5, compression: h264 crf=22
2056.png - scale: lanczos size factor=0.5, compression: h264 crf=27
0714.png - scale: box size factor=0.5, compression: h264 crf=24
0637.png - scale: lanczos size factor=0.5, compression: h264 crf=28
0071.png - compression: h264 crf=23, scale: lanczos size factor=0.5
1544.png - compression: h264 crf=21, scale: box size factor=0.5
1767.png - scale: bilinear size factor=0.5, compression: h264 crf=24
0301.png - scale: bilinear size factor=0.5, compression: h264 crf=26
0334.png - scale: bilinear size factor=0.5, compression: h264 crf=20
1822.png - compression: h264 crf=23, scale: bilinear size factor=0.5
0659.png - compression: h264 crf=22, scale: lanczos size factor=0.5
1823.png - compression: h264 crf=20, scale: box size factor=0.5
1427.png - scale: box size factor=0.5, compression: h264 crf=28
0610.png - compression: h264 crf=27, scale: bilinear size factor=0.5
2213.png - scale: nearest size factor=0.5, compression: h264 crf=23
0439.png - scale: lanczos size factor=0.5, compression: h264 crf=22
2269.png - scale: bicubic size factor=0.5, compression: h264 crf=20
0914.png - compression: h264 crf=26, scale: box size factor=0.5
1191.png - compression: h264 crf=27, scale: box size factor=0.5
0076.png - compression: h264 crf=22, scale: bilinear size factor=0.5
1894.png - scale: box size factor=0.5, compression: h264 crf=20
1230.png - scale: bilinear size factor=0.5, compression: h264 crf=22
